Fra;Til;KWH 60 Forbruk
14.12.2019 20:00;14.12.2019 21:00;2,158
14.12.2019 21:00;14.12.2019 22:00;2,104
14.12.2019 22:00;14.12.2019 23:00;1,877
14.12.2019 23:00;15.12.2019 00:00;1,888
15.12.2019 00:00;15.12.2019 01:00;1,504
15.12.2019 01:00;15.12.2019 02:00;1,499
15.12.2019 02:00;15.12.2019 03:00;2,468
15.12.2019 03:00;15.12.2019 04:00;1,55
15.12.2019 04:00;15.12.2019 05:00;1,602
15.12.2019 05:00;15.12.2019 06:00;1,496
15.12.2019 06:00;15.12.2019 07:00;1,528
15.12.2019 07:00;15.12.2019 08:00;1,562
15.12.2019 08:00;15.12.2019 09:00;1,943
15.12.2019 09:00;15.12.2019 10:00;2,763
15.12.2019 10:00;15.12.2019 11:00;2,104
15.12.2019 11:00;15.12.2019 12:00;3,893
15.12.2019 12:00;15.12.2019 13:00;2,519
15.12.2019 13:00;15.12.2019 14:00;1,854
15.12.2019 14:00;15.12.2019 15:00;2,134
15.12.2019 15:00;15.12.2019 16:00;2,676
15.12.2019 16:00;15.12.2019 17:00;3,255
15.12.2019 17:00;15.12.2019 18:00;1,804
15.12.2019 18:00;15.12.2019 19:00;1,732
15.12.2019 19:00;15.12.2019 20:00;2,585
15.12.2019 20:00;15.12.2019 21:00;4,291
15.12.2019 21:00;15.12.2019 22:00;2,904
15.12.2019 22:00;15.12.2019 23:00;3,74
15.12.2019 23:00;16.12.2019 00:00;1,742
16.12.2019 00:00;16.12.2019 01:00;1,36
16.12.2019 01:00;16.12.2019 02:00;1,375
16.12.2019 02:00;16.12.2019 03:00;1,528
16.12.2019 03:00;16.12.2019 04:00;1,482
16.12.2019 04:00;16.12.2019 05:00;1,508
16.12.2019 05:00;16.12.2019 06:00;1,641
16.12.2019 06:00;16.12.2019 07:00;1,758
16.12.2019 07:00;16.12.2019 08:00;2,637
16.12.2019 08:00;16.12.2019 09:00;2,222
16.12.2019 09:00;16.12.2019 10:00;1,786
16.12.2019 10:00;16.12.2019 11:00;1,653
16.12.2019 11:00;16.12.2019 12:00;1,689
16.12.2019 12:00;16.12.2019 13:00;1,723
16.12.2019 13:00;16.12.2019 14:00;1,745
16.12.2019 14:00;16.12.2019 15:00;2,694
16.12.2019 15:00;16.12.2019 16:00;1,859
16.12.2019 16:00;16.12.2019 17:00;2,68
16.12.2019 17:00;16.12.2019 18:00;2,334
16.12.2019 18:00;16.12.2019 19:00;2,678
16.12.2019 19:00;16.12.2019 20:00;3,365
16.12.2019 20:00;16.12.2019 21:00;3,2
16.12.2019 21:00;16.12.2019 22:00;2,5
16.12.2019 22:00;16.12.2019 23:00;4,676
16.12.2019 23:00;17.12.2019 00:00;1,998
17.12.2019 00:00;17.12.2019 01:00;1,765
17.12.2019 01:00;17.12.2019 02:00;1,95
17.12.2019 02:00;17.12.2019 03:00;1,938
17.12.2019 03:00;17.12.2019 04:00;1,831
17.12.2019 04:00;17.12.2019 05:00;1,872
17.12.2019 05:00;17.12.2019 06:00;2,014
17.12.2019 06:00;17.12.2019 07:00;2,57
17.12.2019 07:00;17.12.2019 08:00;2,057
17.12.2019 08:00;17.12.2019 09:00;2,347
17.12.2019 09:00;17.12.2019 10:00;2,852
17.12.2019 10:00;17.12.2019 11:00;2,843
17.12.2019 11:00;17.12.2019 12:00;1,267
17.12.2019 12:00;17.12.2019 13:00;1,417
17.12.2019 13:00;17.12.2019 14:00;1,437
17.12.2019 14:00;17.12.2019 15:00;1,312
17.12.2019 15:00;17.12.2019 16:00;1,453
17.12.2019 16:00;17.12.2019 17:00;2,318
17.12.2019 17:00;17.12.2019 18:00;2,776
17.12.2019 18:00;17.12.2019 19:00;1,564
17.12.2019 19:00;17.12.2019 20:00;1,442
17.12.2019 20:00;17.12.2019 21:00;1,73
17.12.2019 21:00;17.12.2019 22:00;2,255
17.12.2019 22:00;17.12.2019 23:00;1,411
17.12.2019 23:00;18.12.2019 00:00;1,179
18.12.2019 00:00;18.12.2019 01:00;1,096
18.12.2019 01:00;18.12.2019 02:00;1,283
18.12.2019 02:00;18.12.2019 03:00;1,311
18.12.2019 03:00;18.12.2019 04:00;1,118
18.12.2019 04:00;18.12.2019 05:00;1,287
18.12.2019 05:00;18.12.2019 06:00;2,414
18.12.2019 06:00;18.12.2019 07:00;1,548
18.12.2019 07:00;18.12.2019 08:00;1,473
18.12.2019 08:00;18.12.2019 09:00;1,588
18.12.2019 09:00;18.12.2019 10:00;1,835
18.12.2019 10:00;18.12.2019 11:00;2,55
18.12.2019 11:00;18.12.2019 12:00;1,49
18.12.2019 12:00;18.12.2019 13:00;1,374
18.12.2019 13:00;18.12.2019 14:00;1,549
18.12.2019 14:00;18.12.2019 15:00;1,735
18.12.2019 15:00;18.12.2019 16:00;2,335
18.12.2019 16:00;18.12.2019 17:00;3,305
18.12.2019 17:00;18.12.2019 18:00;2,026
18.12.2019 18:00;18.12.2019 19:00;3,215
18.12.2019 19:00;18.12.2019 20:00;3,862
18.12.2019 20:00;18.12.2019 21:00;2,55
18.12.2019 21:00;18.12.2019 22:00;1,99
18.12.2019 22:00;18.12.2019 23:00;3,858
18.12.2019 23:00;19.12.2019 00:00;4,559
19.12.2019 00:00;19.12.2019 01:00;1,949
19.12.2019 01:00;19.12.2019 02:00;1,816
19.12.2019 02:00;19.12.2019 03:00;1,912
19.12.2019 03:00;19.12.2019 04:00;2,123
19.12.2019 04:00;19.12.2019 05:00;2,066
19.12.2019 05:00;19.12.2019 06:00;2,074
